"team","date","time","name","pos","status","injury","note","year","cdate","conf","bcs"
"Army Black Knights","10/26/08","7:52pm","Jordan Trimble","DB","Out For Year","Knee","Trimble missed 10/25 vs. Louisiana Tech. He injured his knee in practice the Wedsnesday prior and will be lost for the season. Freshman Antuan Aaron started in his place.",2008,"2008-10-26","IND","n"
"Army Black Knights","11/24/08","9:02am","Josh McNary","DL","Questionable","Shoulder","McNary missed 11/22 @ Rutgers with a lingering shoulder injury. He is 4th on the team with 61 tackles and 1st with 4.5 sacks.",2008,"2008-11-24","IND","n"
"Auburn Tigers","09/10/08","8:02am","Darrell Roseman","OL","Probable","Leg","The backup lineman missed the week 2 game but is expected to play Saturday.",2008,"2008-09-10","SEC","y"
"Auburn Tigers","09/10/08","7:59am","AJ Green","DL","Probable","Hamstring","The backup RS freshman has missed the first two games due to a hamstring injury but is expected to play this weekend.",2008,"2008-09-10","SEC","y"
"Auburn Tigers","09/08/08","8:44am","James Swinton","WR","Probable","Knee","Swinton could be back in the playing rotation this week. Auburn didn't play him in Saturday's game because he missed too much time last week with a slight knee injury.",2008,"2008-09-08","SEC","y"
"Auburn Tigers","09/06/08","5:35pm","John Douglas","RB","Questionable","Knee","Douglas was injured in the opener and did not play in week 2.",2008,"2008-09-06","SEC","y"
"Auburn Tigers","09/02/08","9:31am","Philip Pierre-Louis","WR","Out","Knee","The freshman receiver tore a knee ligament returning the season opening kickoff and is lost for the season.",2008,"2008-09-02","SEC","y"
"Auburn Tigers","08/27/08","9:27am","Raven Gray","DL","Out","Knee","The backup DE will be redshirted because of a lingering knee problem. Gray practiced this fall, but coaches decided he lacked the strength to be effective because he can't push off on his surgically-repaired knee.",2008,"2008-08-27","SEC","y"
"Auburn Tigers","08/17/08","2:28pm","Marcus Jemison","DB","Out","Leg","Jemison will miss the 2008 season after breaking his leg during a fight with a teammate on the practice field. Auburn's secondary was already thin when Aairon Savage was lost for the year due to a knee injury and this only emphasizes their need for quality depth.",2008,"2008-08-17","SEC","y"
"Auburn Tigers","08/17/08","2:22pm","Aairon Savage","DB","Out","Knee","Savage suffered a dislocated knee cap and torn ACL and MCL after a collision in practice and is out for the season.  He was Freshman All-American at safety before moving to CB last year and becoming one of the team's leaders.  Junior Walter McFadden looks to be Savage's replacement but Auburn's CB depth will be filled by incoming true freshmen.",2008,"2008-08-17","SEC","y"
"Auburn Tigers","09/18/08","8:09am","Brad Lester","RB","Probable","Neck","Lester sustained a sprained neck against Mississippi State. He has returned to practice but was held out of contact drills. Barring an unforeseen setback the senior RB should be able to play Saturday against LSU Coach Tuberville said Wednesday. ""Brad looked good - much better,"" Tuberville said. ""His range of motion is good. If he continues to do what he's doing, he'll be ready to go.""",2008,"2008-09-18","SEC","y"
"Auburn Tigers","09/22/08","10:44am","Robert Dunn","WR","Questionable","Hand","Dunn said he has a pinched nerve in his hand. He is questionable for Saturday's home game against Tennessee.",2008,"2008-09-22","SEC","y"
"Auburn Tigers","09/30/08","3:22pm","Tristan Davis","RB","Probable","Concussion/Head","Senior running back and kick returner Tristan Davis did not play against Tennessee. Davis suffered a concussion in the LSU game and has only seven carries from scrimmage this season but leads the team in kickoff returns. Davis has been upgraded to probable for Vandy.",2008,"2008-09-30","SEC","y"
"Auburn Tigers","09/30/08","3:21pm","Tray Blackmon","LB","Probable","Wrist","Blackmon sat out week 5's with a wrist fracture but has been upgraded to probable for Vandy. Sophomore Josh Bynes became the de facto defensive leader against Tennessee.",2008,"2008-09-30","SEC","y"
"Auburn Tigers","09/30/08","12:59pm","Zac Etheridge","DB","Probable","Shoulder","Free safety Zac Etheridge played through pain Saturday against Tennessee, still feeling the effects of a stinger he suffered the week before. He will play against Vanderbilt.",2008,"2008-09-30","SEC","y"
"Auburn Tigers","10/10/08","9:58am","Jason Bosley","OL","Questionable","Multiple","Right tackle Jason Bosley felt sick for parts of Saturday's game and was replaced by junior Andrew McCain. Bosley's been fighting a number of ailments. ""He's been hurt all year,"" Tuberville said. ""He just works through it. He's got shoulder, neck, arm and leg, feet and toe problems. But he's a warrior.""",2008,"2008-10-10","SEC","y"
"Auburn Tigers","10/09/08","9:23am","Sen'Derrick Marks","DL","Probable","Ankle","Marks sat out the second half of the Vanderbilt game due to an injured left ankle. He got two pieces of good news Sunday -- his X-rays came back negative and it's not a high-ankle sprain. Marks has been upgraded to probable for Arkansas.",2008,"2008-10-09","SEC","y"
"Auburn Tigers","10/09/08","9:22am","Michael Goggans","DL","Probable","Ankle","Goggans saw limited action vs. Vandy due to an ankle problem but has been upgraded to probable for Arkansas.",2008,"2008-10-09","SEC","y"
"Auburn Tigers","10/09/08","9:21am","Craig Stevens","LB","Probable","Foot","Stevens was limited in week six due to a turf toe injury and his status for Arkansas has been upgraded to probable.",2008,"2008-10-09","SEC","y"
"Auburn Tigers","10/09/08","9:21am","Brad Lester","RB","Probable","Knee","Lester was back at practice but not at full speed Monday. He had two carries for 12 yards against the Commodores but had his workload limited because of a variety of injuries. ""We got a few plays out of him,"" Tuberville said. ""He just wasn't the old Lester. He tried."" He has been upgraded to probable for Arkansas.",2008,"2008-10-09","SEC","y"
"Auburn Tigers","10/09/08","9:17am","Antonio Coleman","DL","Probable","Leg","Coleman was limited against Vandy due to an injured leg muscle and is probable for Arkansas.",2008,"2008-10-09","SEC","y"
"Auburn Tigers","10/08/08","10:24am","Jerraud Powers","DB","Doubtful","Hamstring","Powers came off the field in the second quarter of the Vandy game with a tweaked hamstring. He tried to jog around after the game but couldn't. Powers has been downgraded to expected to miss the Arkansas game.",2008,"2008-10-08","SEC","y"
"Auburn Tigers","10/06/08","11:13am","Robert Dunn","WR","Questionable","Ankle","Wide receiver/punt returner Robert Dunn didn't travel to Vanderbilt. The Tigers are hopeful he'll practice this week. ""He's too sore to run on it,"" Tuberville said.",2008,"2008-10-06","SEC","y"
"Auburn Tigers","10/21/08","12:58pm","Chris Todd","QB","Doubtful","Shoulder","Todd is out of the mix this week. He has started five games this season but is still trying to regain strength in his throwing shoulder after suffering an injury last year. ""He's throwing the ball a little bit, not a lot,"" Coach Tuberville said. ""We're not letting him throw deep, trying to get it all the way back. I want to get him completely healthy and give him a shot when he's 100 percent."" Since the Arkansas game, Tuberville has consistently said Kodi Burns is his starting quarterback.",2008,"2008-10-21","SEC","y"
"Auburn Tigers","10/20/08","5:44pm","Antoine Carter","DL","Doubtful","Ankle","Coach Tuberville said DE Antoine Carter was the only player not to practice much on Sunday, meaning he is also unlikely to play on Thursday. Carter recently injured his ankle.",2008,"2008-10-20","SEC","y"
"Auburn Tigers","11/02/08","3:04pm","Neiko Thorpe","DB","Questionable","Ankle","Thorpe missed the Mississippi game due to an ankle injury. Walter McFadden started in his place.",2008,"2008-11-02","SEC","y"
"Auburn Tigers","11/02/08","3:00pm","Byron Isom","OL","Questionable","Concussion/Head","Isom missed the last 2 games with a concussion and his replacement, sophomore Mike Berry, remains the starter at guard.",2008,"2008-11-02","SEC","y"
"Auburn Tigers","11/12/08","9:08am","Montez Billings","WR","Doubtful","Nose","Billings has a broken nose and is doubtful for Georgia. He ranks 3rd on the team in receptions this year behind receiver R. Smith and TE Tommy Trott.",2008,"2008-11-12","SEC","y"
"Auburn Tigers","11/12/08","9:05am","Merrill Johnson","LB","Doubtful","Hand","Johnson broke his hand and is doubtful for this game and Coach Tuberville hopes that he will be able to get back for the last game. Senior Chris Evans will move over and start in his place if he cannot play in week 12.",2008,"2008-11-12","SEC","y"
"Auburn Tigers","11/10/08","3:30pm","Tez Doolittle","DL","Probable","Groin","Doolittle did not play in week 11 in order to rest his ailing groin for Georgia. Mike Blanc started in his place but Doolittle is expected to start this weekend.",2008,"2008-11-10","SEC","y"
"Auburn Tigers","11/10/08","3:25pm","Antonio Coleman","DL","Probable","Shoulder","Coach Tuberville rested Coleman in week 11 against the FCS Tenn-Martin squad so he will be ready for the upcoming Georgia contest. He leads the SEC with 6 sacks this season.",2008,"2008-11-10","SEC","y"
"Auburn Tigers","11/10/08","10:58am","Tristan Davis","RB","Probable","Hamstring","Davis tweaked his hamstring in week 11 but said he is fine. He is expected to play against Georgia and likely will start at FB.",2008,"2008-11-10","SEC","y"
"Auburn Tigers","11/10/08","10:56am","Jason Bosley","OL","Probable","Ankle","Bosley reinjured a sore ankle and left the week 11 game. Tuberville said Bosley should be ready for Georgia.",2008,"2008-11-10","SEC","y"
"Auburn Tigers","11/26/08","3:37pm","Wes Byrum","K","Probable","Knee","Wes Byrums knee is still giving him problems but he has been upgraded to probable for handling Auburns place-kicking duties in this weeks Iron Bowl. Sophomore walk-on Morgan Hull replaced a hobbled Byrum against Georgia and made an extra point in the 2nd half. Auburn nearly sent him out for a long field goal in the 4th quarter but opted to go for it instead, resulting in an incomplete pass and turnover on downs.",2008,"2008-11-26","SEC","y"
"Auburn Tigers","11/24/08","5:13pm","Tommy Trott","TE","Out For Year","Knee","Trott will undergo knee surgery to repair a torn ACL ending his season and jeopardizing his participation in spring practice. ""He's played very well for us and is one of the leaders of our offense,"" said coach Tommy Tuberville. ""I hate to lose him."" The junior has caught 20 passes for 201 yards this season. He should be fully healthy by 2009. If Auburn decides to push spring practice back a month or so, as Tuberville is considering, Trott could also have a chance to participate in at least some of the drills.",2008,"2008-11-24","SEC","y"
"Ball State Cardinals","09/24/08","10:43am","Kreg Hunter","OL","Questionable","Knee","The starting right guard missed his second straight game with a knee injury. Kyle Cornwell started again in place of Hunter.",2008,"2008-09-24","MAC","n"
"Ball State Cardinals","09/23/08","12:21pm","Dante Love","WR","Out","Back","The 1st Tm MAC stud had surgery to stabilize a cervical spinal fracture and spinal cord injury after being injured early in the game Saturday. He was moving his arms and legs after the lengthy procedure. Love entered the game as the nation's leader in yards receiving per game (144.3). Love is expected to ""live a normal and happy life"" according to a statement released by the university, but he probably won't ever play football again.",2008,"2008-09-23","MAC","n"
"Ball State Cardinals","10/23/08","10:05am","Myles Trempe","WR","Probable","Hip","Backup receiver Trempe played sparingly in the last game after injuring a hip and knee while running into a railing behind the end zone Oct. 4 at Toledo. Trempe should be back to full health this week.",2008,"2008-10-23","MAC","n"
"Ball State Cardinals","10/21/08","3:37pm","Trey Buice","DB","Probable","Hand","Buice suffered a broken left hand in week 7 but has already been upgraded to 'expected to start' against E. Michigan. Buice started every game this season after beating out Trey Lewis for the corner spot opposite B.J. Hill in preseason camp. He ranked fifth for Ball State in tackles coming into the WKU game with 31, and had one interception. Lewis replaced him in week 7.",2008,"2008-10-21","MAC","n"
